title;singer;link;tags
"Khushiyan Hi Khushiyan";"Yesudas";KkEAcSngyao;"Joy"
"Aaj Se Pehle";"Yesudas";52bcuHsFHfE;"Joy"
"Uthe Sabke Kadam";"Lata Mangeshkar";MXxcDyw13s8;"Joy"
"Aati Rahengi Baharein";"Kishore Kumar";RhOJ2Ld_R6o;"Joy"
"Zindagi Ek Safar Hai Suhana";"Kishore Kumar";jBspOUwBHRg;"Joy"
"Suhana Safar Aur Ye Mausam Haseen";"Mukesh";aSU74fpWsfQ;"Joy"
"Yeh Dil Na Hota Bechara";"Kishore Kumar";OG86VR9pTGc;"Joy"
"Pukarta Chala Hoon Main";"Mohd Rafi";gLKBwutnPwA;"Joy"
"Deewana Hua Badal";"Mohd Rafi";beqTRIpoos8;"Joy"
"Na Jaane Kyun";"Lata Mangeshkar";F1t_Eeo-OQM;"Joy"
"Ankhon Mein Qayamat Ke Kajal";"Mahendra Kapoor";HZE_YI60rsc;"Joy"
"Zara Nazron Se Kehdo Ji";"Hemant Kumar";DJigEUcbpSw;"Joy"
"Deewana Mujhsa Nahi";"Mohd Rafi";bzg_UveiNMk;"Joy"
"Aaja Aaja Main Hoon Pyar Tera";"Mohd Rafi";yjXn2CEJVjA;"Joy"
"Tareef Karoon Kya Uski";"Mohd Rafi";txv7RCe8DXM;"Joy"
"Bar Bar Dekho";"Mohd Rafi";k6pYkSh2NcA;"Joy"
"Pag Ghunghroo Bandh Meera Nachi Thi";"Kishore Kumar";cTvUrpSr9ck;"Joy"
"Ae Meri Zohar Jabi";"Manna Dey";keCnKigrrDQ;"Joy"
"Khwab Ho Tum Ya Koi Haqeeqat";"Kishore Kumar";Jw4wLVnFJ-E;"Joy"
"Aaja Aai Bahaar";"Lata Mangeshkar";MJdt2fCS4ds;"Joy"
"Jawaani Jaaneman";"Asha Bhosle";f5bEkgKTZmw;"Joy"
"Mere Naseeb Mein";"Lata Mangeshkar";HkLTN-vjqdA;"Joy"
"O Mere Dil Ke Chain";"Kishore Kumar";5eyflIV8pzM;"Joy"
"Ae Dil Kya Mehfil Hai Tere";"Kishore Kumar";wP-oqspjwpM;"Joy"
"Khullam Khulla Pyar Karenge";"Kishore Kumar";atMuomoUcI0;"Joy"
"Ek Main Aur Ek Tu";"Kishore Kumar";4f7aMyduaZ0;"Joy"
"Gulabi Aankhein Jo Teri Dekhi";"Mohd Rafi";I5t894l5b1w;"Joy"
"Kitne Bhi Tu Karle Sitam";"Kishore Kumar";qmNWNc-Auik;"Joy"
"Lift Karadey";"Adnan Sami";IU2ttJ73h2Y;"Joy"
"O Haseena Zulfon Wali";"Mohd Rafi";TfTpZVgc05o;"Joy"
"Roop Tera Mastaana";"Kishore Kumar";z29fz7Nzcbw;"Joy"
"Mere Sapnon Ki Rani";"Kishore Kumar";vo1MykK4u8U;"Joy"
"Ye Shaam Mastaani";"Kishore Kumar";_sZg4EUB3IM;"Joy"
"Chala Jata Hoon";"Kishore Kumar";i2QCmXaCToM;"Joy"
"Nakhre Waali";"Kishore Kumar";CkWYqitwZqM;"Joy"
"Tumsa Nahi Dekha";"Mohd Rafi";Ezpvc3lNLK0;"Joy"
"Haal Kaisa Hai Janab Ka";"Kishore Kumar";bFPDaDoruTY;"Joy"
"Panch Rupaiya Barah Aana";"Kishore Kumar";wO5qkv6Fabg;"Joy"
"Paisa Yeh Paisa";"Kishore Kumar";i_uSXYgmmj4;"Joy"
"Main Hoon Jhoom Jhoom Jhumroo";"Kishore Kumar";tYV7wRovPhY;"Joy"
"Do Aur Do Panch";"Kishore Kumar";597aAMmgAZU;"Joy"
"Amar Akbar Anthony";"Mukesh";ZBtAanF0UZc;"Joy"
"My Name Is Anthony Gonsalves";"Kishore Kumar";wlxfIIgKZho;"Joy"
"Thandi Hawa Yeh Chandni Suhani";"Kishore Kumar";P73YWHL6qiE;"Joy"
"Dil Ki Girah Khol Do";"Lata Mangeshkar";Blo6Iyt8mIk;"Joy"
"Ruk Ruk Ruk Are Baba Ruk";"Alisha Chinai";riyH6C43VQg;"Joy"
"Yeh Raatein Nayi Purani";"Lata Mangeshkar";KkNDS7TfJ5s;"Joy"
"Tujhse Pehale Bematlab Thi";"Kishore Kumar";g2vJJdH3Qgs;"Joy"
"Jab Koi Baat Bigad Jaye";"Kumar Sanu";qE7C35WxKno;"Joy"
"Tumse Milke Aisa Laga";"Suresh Wadkar";9ieB2Pmq58E;"Joy"

