Hex-Value;Type;Sign;Name
1F58E..1F58F; Extended_Pi;🖎..🖏;LEFT WRITING HAND..TURNED OK HAND SIGN
1F590; Extended_Pi;🖐️;hand with fingers splayed
1F591..1F594; Extended_Pi;🖑..🖔;REVERSED RAISED HAND WITH FINGERS SPLAYED..REVERSED VICTORY HAND
1F595..1F596; Extended_Pi;🖕..🖖;middle finger..vulcan salute
1F597..1F5A3; Extended_Pi;🖗..🖣;WHITE DOWN POINTING LEFT HAND INDEX..BLACK DOWN POINTING BACKHAND INDEX
1F5A4; Extended_Pi;🖤;black heart
1F5A5; Extended_Pi;🖥️;desktop computer
1F5A6..1F5A7; Extended_Pi;🖦..🖧;KEYBOARD AND MOUSE..THREE NETWORKED COMPUTERS
1F5A8; Extended_Pi;🖨️;printer
1F5A9..1F5B0; Extended_Pi;🖩..🖰;POCKET CALCULATOR..TWO BUTTON MOUSE
1F5B1..1F5B2; Extended_Pi;🖱️..🖲️;computer mouse..trackball
1F5B3..1F5BB; Extended_Pi;🖳..🖻;OLD PERSONAL COMPUTER..DOCUMENT WITH PICTURE
1F5BC; Extended_Pi;🖼️;framed picture
1F5BD..1F5C1; Extended_Pi;🖽..🗁;FRAME WITH TILES..OPEN FOLDER
1F5C2..1F5C4; Extended_Pi;🗂️..🗄️;card index dividers..file cabinet
1F5C5..1F5D0; Extended_Pi;🗅..🗐;EMPTY NOTE..PAGES
1F5D1..1F5D3; Extended_Pi;🗑️..🗓️;wastebasket..spiral calendar
1F5D4..1F5DB; Extended_Pi;🗔..🗛;DESKTOP WINDOW..DECREASE FONT SIZE SYMBOL
1F5DC..1F5DE; Extended_Pi;🗜️..🗞️;clamp..rolled-up newspaper
1F5DF..1F5E0; Extended_Pi;🗟..🗠;PAGE WITH CIRCLED TEXT..STOCK CHART
1F5E1; Extended_Pi;🗡️;dagger
1F5E2; Extended_Pi;🗢;LIPS
1F5E3; Extended_Pi;🗣️;speaking head
1F5E4..1F5E7; Extended_Pi;🗤..🗧;THREE RAYS ABOVE..THREE RAYS RIGHT
1F5E8; Extended_Pi;🗨️;left speech bubble
1F5E9..1F5EE; Extended_Pi;🗩..🗮;RIGHT SPEECH BUBBLE..LEFT ANGER BUBBLE
1F5EF; Extended_Pi;🗯️;right anger bubble
1F5F0..1F5F2; Extended_Pi;🗰..🗲;MOOD BUBBLE..LIGHTNING MOOD
1F5F3; Extended_Pi;🗳️;ballot box with ballot
1F5F4..1F5F9; Extended_Pi;🗴..🗹;BALLOT SCRIPT X..BALLOT BOX WITH BOLD CHECK
1F5FA; Extended_Pi;🗺️;world map
1F5FB..1F5FF; Extended_Pi;🗻..🗿;mount fuji..moai
1F600; Extended_Pi;😀;grinning face
1F601..1F606; Extended_Pi;😁..😆;beaming face with smiling eyes..grinning squinting face
1F607..1F608; Extended_Pi;😇..😈;smiling face with halo..smiling face with horns
1F609..1F60D; Extended_Pi;😉..😍;winking face..smiling face with heart-eyes
1F60E; Extended_Pi;😎;smiling face with sunglasses
1F60F; Extended_Pi;😏;smirking face
1F610; Extended_Pi;😐;neutral face
1F611; Extended_Pi;😑;expressionless face
1F612..1F614; Extended_Pi;😒..😔;unamused face..pensive face
1F615; Extended_Pi;😕;confused face
1F616; Extended_Pi;😖;confounded face
1F617; Extended_Pi;😗;kissing face
1F618; Extended_Pi;😘;face blowing a kiss
1F619; Extended_Pi;😙;kissing face with smiling eyes
1F61A; Extended_Pi;😚;kissing face with closed eyes
1F61B; Extended_Pi;😛;face with tongue
1F61C..1F61E; Extended_Pi;😜..😞;winking face with tongue..disappointed face
1F61F; Extended_Pi;😟;worried face
1F620..1F625; Extended_Pi;😠..😥;angry face..sad but relieved face
1F626..1F627; Extended_Pi;😦..😧;frowning face with open mouth..anguished face
1F628..1F62B; Extended_Pi;😨..😫;fearful face..tired face
1F62C; Extended_Pi;😬;grimacing face
1F62D; Extended_Pi;😭;loudly crying face
1F62E..1F62F; Extended_Pi;😮..😯;face with open mouth..hushed face
1F630..1F633; Extended_Pi;😰..😳;anxious face with sweat..flushed face
1F634; Extended_Pi;😴;sleeping face
1F635; Extended_Pi;😵;dizzy face
1F636; Extended_Pi;😶;face without mouth
1F637..1F640; Extended_Pi;😷..🙀;face with medical mask..weary cat
1F641..1F644; Extended_Pi;🙁..🙄;slightly frowning face..face with rolling eyes
1F645..1F64F; Extended_Pi;🙅..🙏;person gesturing NO..folded hands
1F680; Extended_Pi;🚀;rocket
1F681..1F682; Extended_Pi;🚁..🚂;helicopter..locomotive
1F683..1F685; Extended_Pi;🚃..🚅;railway car..bullet train
1F686; Extended_Pi;🚆;train
1F687; Extended_Pi;🚇;metro
1F688; Extended_Pi;🚈;light rail
1F689; Extended_Pi;🚉;station
1F68A..1F68B; Extended_Pi;🚊..🚋;tram..tram car
1F68C; Extended_Pi;🚌;bus
1F68D; Extended_Pi;🚍;oncoming bus
1F68E; Extended_Pi;🚎;trolleybus
1F68F; Extended_Pi;🚏;bus stop
1F690; Extended_Pi;🚐;minibus
1F691..1F693; Extended_Pi;🚑..🚓;ambulance..police car
1F694; Extended_Pi;🚔;oncoming police car
1F695; Extended_Pi;🚕;taxi
1F696; Extended_Pi;🚖;oncoming taxi
1F697; Extended_Pi;🚗;automobile
1F698; Extended_Pi;🚘;oncoming automobile
1F699..1F69A; Extended_Pi;🚙..🚚;sport utility vehicle..delivery truck
1F69B..1F6A1; Extended_Pi;🚛..🚡;articulated lorry..aerial tramway
1F6A2; Extended_Pi;🚢;ship
1F6A3; Extended_Pi;🚣;person rowing boat
1F6A4..1F6A5; Extended_Pi;🚤..🚥;speedboat..horizontal traffic light
1F6A6; Extended_Pi;🚦;vertical traffic light
1F6A7..1F6AD; Extended_Pi;🚧..🚭;construction..no smoking
1F6AE..1F6B1; Extended_Pi;🚮..🚱;litter in bin sign..non-potable water
1F6B2; Extended_Pi;🚲;bicycle
1F6B3..1F6B5; Extended_Pi;🚳..🚵;no bicycles..person mountain biking
1F6B6; Extended_Pi;🚶;person walking
1F6B7..1F6B8; Extended_Pi;🚷..🚸;no pedestrians..children crossing
1F6B9..1F6BE; Extended_Pi;🚹..🚾;men’s room..water closet
1F6BF; Extended_Pi;🚿;shower
1F6C0; Extended_Pi;🛀;person taking bath
1F6C1..1F6C5; Extended_Pi;🛁..🛅;bathtub..left luggage
1F6C6..1F6CA; Extended_Pi;🛆..🛊;TRIANGLE WITH ROUNDED CORNERS..GIRLS SYMBOL
1F6CB; Extended_Pi;🛋️;couch and lamp
1F6CC; Extended_Pi;🛌;person in bed
1F6CD..1F6CF; Extended_Pi;🛍️..🛏️;shopping bags..bed
1F6D0; Extended_Pi;🛐;place of worship
1F6D1..1F6D2; Extended_Pi;🛑..🛒;stop sign..shopping cart
1F6D3..1F6D4; Extended_Pi;🛓..🛔;STUPA..PAGODA
1F6D5; Extended_Pi;🛕;hindu temple
1F6D6..1F6D7; Extended_Pi;🛖..🛗;hut..elevator
1F6D8..1F6DF; Extended_Pi;🛘..🛟;<reserved-1F6D8>..<reserved-1F6DF>
1F6E0..1F6E5; Extended_Pi;🛠️..🛥️;hammer and wrench..motor boat
1F6E6..1F6E8; Extended_Pi;🛦..🛨;UP-POINTING MILITARY AIRPLANE..UP-POINTING SMALL AIRPLANE
1F6E9; Extended_Pi;🛩️;small airplane
1F6EA; Extended_Pi;🛪;NORTHEAST-POINTING AIRPLANE
1F6EB..1F6EC; Extended_Pi;🛫..🛬;airplane departure..airplane arrival
1F6ED..1F6EF; Extended_Pi;🛭..🛯;<reserved-1F6ED>..<reserved-1F6EF>
1F6F0; Extended_Pi;🛰️;satellite
1F6F1..1F6F2; Extended_Pi;🛱..🛲;ONCOMING FIRE ENGINE..DIESEL LOCOMOTIVE
1F6F3; Extended_Pi;🛳️;passenger ship
1F6F4..1F6F6; Extended_Pi;🛴..🛶;kick scooter..canoe
1F6F7..1F6F8; Extended_Pi;🛷..🛸;sled..flying saucer
1F6F9; Extended_Pi;🛹;skateboard
1F6FA; Extended_Pi;🛺;auto rickshaw
1F6FB..1F6FC; Extended_Pi;🛻..🛼;pickup truck..roller skate
1F6FD..1F6FF; Extended_Pi;🛽..🛿;<reserved-1F6FD>..<reserved-1F6FF>
1F774..1F77F; Extended_Pi;🝴..🝿;<reserved-1F774>..<reserved-1F77F>
1F7D5..1F7DF; Extended_Pi;🟕..🟟;CIRCLED TRIANGLE..<reserved-1F7DF>
1F7E0..1F7EB; Extended_Pi;🟠..🟫;orange circle..brown square
1F7EC..1F7FF; Extended_Pi;🟬..🟿;<reserved-1F7EC>..<reserved-1F7FF>
1F80C..1F80F; Extended_Pi;🠌..🠏;<reserved-1F80C>..<reserved-1F80F>
1F848..1F84F; Extended_Pi;🡈..🡏;<reserved-1F848>..<reserved-1F84F>
1F85A..1F85F; Extended_Pi;🡚..🡟;<reserved-1F85A>..<reserved-1F85F>
1F888..1F88F; Extended_Pi;🢈..🢏;<reserved-1F888>..<reserved-1F88F>
1F8AE..1F8FF; Extended_Pi;🢮..🣿;<reserved-1F8AE>..<reserved-1F8FF>
1F90C; Extended_Pi;🤌;pinched fingers
1F90D..1F90F; Extended_Pi;🤍..🤏;white heart..pinching hand
1F910..1F918; Extended_Pi;🤐..🤘;zipper-mouth face..sign of the horns
1F919..1F91E; Extended_Pi;🤙..🤞;call me hand..crossed fingers
1F91F; Extended_Pi;🤟;love-you gesture
1F920..1F927; Extended_Pi;🤠..🤧;cowboy hat face..sneezing face
1F928..1F92F; Extended_Pi;🤨..🤯;face with raised eyebrow..exploding head
1F930; Extended_Pi;🤰;pregnant woman
1F931..1F932; Extended_Pi;🤱..🤲;breast-feeding..palms up together
1F933..1F93A; Extended_Pi;🤳..🤺;selfie..person fencing
1F93C..1F93E; Extended_Pi;🤼..🤾;people wrestling..person playing handball
1F93F; Extended_Pi;🤿;diving mask
1F940..1F945; Extended_Pi;🥀..🥅;wilted flower..goal net
1F947..1F94B; Extended_Pi;🥇..🥋;1st place medal..martial arts uniform
1F94C; Extended_Pi;🥌;curling stone
1F94D..1F94F; Extended_Pi;🥍..🥏;lacrosse..flying disc
1F950..1F95E; Extended_Pi;🥐..🥞;croissant..pancakes
1F95F..1F96B; Extended_Pi;🥟..🥫;dumpling..canned food
1F96C..1F970; Extended_Pi;🥬..🥰;leafy green..smiling face with hearts
1F971; Extended_Pi;🥱;yawning face
1F972; Extended_Pi;🥲;smiling face with tear
1F973..1F976; Extended_Pi;🥳..🥶;partying face..cold face
1F977..1F978; Extended_Pi;🥷..🥸;ninja..disguised face
1F979; Extended_Pi;🥹;<reserved-1F979>
1F97A; Extended_Pi;🥺;pleading face
1F97B; Extended_Pi;🥻;sari
1F97C..1F97F; Extended_Pi;🥼..🥿;lab coat..flat shoe
1F980..1F984; Extended_Pi;🦀..🦄;crab..unicorn
1F985..1F991; Extended_Pi;🦅..🦑;eagle..squid
1F992..1F997; Extended_Pi;🦒..🦗;giraffe..cricket
1F998..1F9A2; Extended_Pi;🦘..🦢;kangaroo..swan
1F9A3..1F9A4; Extended_Pi;🦣..🦤;mammoth..dodo
1F9A5..1F9AA; Extended_Pi;🦥..🦪;sloth..oyster
1F9AB..1F9AD; Extended_Pi;🦫..🦭;beaver..seal
1F9AE..1F9AF; Extended_Pi;🦮..🦯;guide dog..white cane
1F9B0..1F9B9; Extended_Pi;🦰..🦹;red hair..supervillain
1F9BA..1F9BF; Extended_Pi;🦺..🦿;safety vest..mechanical leg
1F9C0; Extended_Pi;🧀;cheese wedge
1F9C1..1F9C2; Extended_Pi;🧁..🧂;cupcake..salt
1F9C3..1F9CA; Extended_Pi;🧃..🧊;beverage box..ice
1F9CB; Extended_Pi;🧋;bubble tea
1F9CC; Extended_Pi;🧌;<reserved-1F9CC>
1F9CD..1F9CF; Extended_Pi;🧍..🧏;person standing..deaf person
1F9D0..1F9E6; Extended_Pi;🧐..🧦;face with monocle..socks
1F9E7..1F9FF; Extended_Pi;🧧..🧿;red envelope..nazar amulet
1FA00..1FA6F; Extended_Pi;🨀..🩯;NEUTRAL CHESS KING..<reserved-1FA6F>
1FA70..1FA73; Extended_Pi;🩰..🩳;ballet shoes..shorts
1FA74; Extended_Pi;🩴;thong sandal
1FA75..1FA77; Extended_Pi;🩵..🩷;<reserved-1FA75>..<reserved-1FA77>
1FA78..1FA7A; Extended_Pi;🩸..🩺;drop of blood..stethoscope
1FA7B..1FA7F; Extended_Pi;🩻..🩿;<reserved-1FA7B>..<reserved-1FA7F>
1FA80..1FA82; Extended_Pi;🪀..🪂;yo-yo..parachute
1FA83..1FA86; Extended_Pi;🪃..🪆;boomerang..nesting dolls
1FA87..1FA8F; Extended_Pi;🪇..🪏;<reserved-1FA87>..<reserved-1FA8F>
1FA90..1FA95; Extended_Pi;🪐..🪕;ringed planet..banjo
1FA96..1FAA8; Extended_Pi;🪖..🪨;military helmet..rock
1FAA9..1FAAF; Extended_Pi;🪩..🪯;<reserved-1FAA9>..<reserved-1FAAF>
1FAB0..1FAB6; Extended_Pi;🪰..🪶;fly..feather
1FAB7..1FABF; Extended_Pi;🪷..🪿;<reserved-1FAB7>..<reserved-1FABF>
1FAC0..1FAC2; Extended_Pi;🫀..🫂;anatomical heart..people hugging
1FAC3..1FACF; Extended_Pi;🫃..🫏;<reserved-1FAC3>..<reserved-1FACF>
1FAD0..1FAD6; Extended_Pi;🫐..🫖;blueberries..teapot
1FAD7..1FAFF; Extended_Pi;🫗..🫿;<reserved-1FAD7>..<reserved-1FAFF>
1FC00..1FFFD; Extended_Pi;🰀..🿽;<reserved-1FC00>..<reserved-1FFFD>
